user,comments,
Khawar Abbas,Mariam,
Malik Faisal,Mariam is a great chorni of his chore father. Sharm nhi ati is calibri naani ko jhoot boltay huay. Sari duniya keh rahi hai k ye chore khandan hai aur ye apna mon kala kranay k liye jalsay krti hai.,
Shakir Khan,Mariam ko sans ku chra hoa he,
Farzana Arshad,MARIAM NAWAZ AP QUETTA JAO INSANI HAMSARDI K.NATY VURSA KO.TADFIN K LIY RAZI KARO AUR BATA DO NIAZI AWAMI LEADER NAHI HY SELECTED HY US KA AWAM SE KIA LENA DENA,
Aleem Akbar,Mariam safdar chour kee baite dont understand that,
Mohd Yasir,Marime nwaz zindh bad ????????????????????????????????????????????????????????????????????????????????????????????????????????????,
Barkat Jamil,MARIUM DAFTAR SHARIF PML-N ZARDARI BILLOOOO MUNNI RANIII PPP MOULAAA DIESEL SIRAJUL HAQ MEHMOOD ACHAKJAI AHKTAR MENGAL N ALL OTHER 11 PDM KHAANDAANS MEMBERSHIPS PARTIES INNA LILLAHI WA INNA ILAYHI RAJEOON THUMMA AAMEEN THUMMA AAMEEN THUMMA AAMEEN,
Pervez M Quadir,mariyam tara pooon bht tiet hoga,
Hayat Swatee Hayat Swatee,Maryaam BiBi where were you? I was awaiting fr you to see our next PM,
Hammad Zafar,Maryam aik beshrm ourt hai jhoot pe jhoot,
Farzana Arshad,Maryam apni washal thik karado. AP ne 9 mah ka project 4 mah main leak kar dia tha. Geraj main bahut leakage hoyi thi apki. Plastic surgery se ziada ye zaruri hay k ap apni washal ki repairing karwa lo.,
Malik Wasim Kanhoon Adv,Maryam bibi thora sabar karo sab theek ho jayega..... Ab har kaam to 4 mahinay mai nhi h sakta na,
Mallah Mir AJ,Maryam ????????,
Maaz Khan,Maryam jhot utna bolo jitna smjh ay,
Rana Waleed Raza,Maryam knjr,
Sobia Malik,Maryam Nawaz Speech From PDM Lahore Jalsa 13th December 2020,
Syed Faizan Ishtiaq,Maryam Nawaz: elections in Pakistan are rigged.,
????? ?? ????,Maryam nichay sai boht garam howi hai....iski kharish koi dhoor karay,
Jawad Khan,Maryam Safdar aik paagal aurat hai aur is ko serious lenay wallay sab khotay hain.,
Luqman Kundi,Maryam Safdar is a convicted felon. She should be locked up in Kot Lakpat prison.,
Shaikh Azadar,"Maryam sb, copying tahir ul qadri.. I know",
Mian Umer Bashir,"Maryam sb, copying tahir ul qadri ..",
Abdur Rauf,Mash Allah,
Mushaid Ktk,Mash Allah,
Sabairulhaq Khan,Mash Allah Bahawalpur's love for graet and brave leader,
Harris Irfan,MAShA AllAh,
Abdul Qudoos Mangi,MASHA ALLAH,
Akbar Khan,Masha ALLAH,
Attaurehman Wazir,Masha Allah g,
Abdul Khaliq Baloch,Masha Allah great,
Hammad Subhani Chughtai,Masha Allah. What a huge crowd. Congratulations,
chor???? ???,"Masha,allah",
Syed Mudassir Ali Bacha,MashaAllah,
Nadeem Sundhu,MashaAllah,
M Usama Sangi S,MashaAllah,
Muhammad Bilal Ahmad,MashaALLAH,
Hameed Ur Rehman Khattak,Mashaallah,
LÓkÍr B‚ÁhÂ‚ II,MashaAllah,
Mian Bahadar Ali Laleka,MashaAllah great crowd,
Zahid Khan,MashaAllah g,
Mahmood Anjum,Mashaallah Great leader,
SiMair Aziz Ur Rehman,Mashaallah mem g you are very great leader,
Aamir Awan,Mashallah,
Kashif Khan,Mashallah,
Ihsan Waziri Ihsan Waziri,Mashallah,
Junaid Wazir,Mashallah,
AhMad KhAn YousafZaii,MASHALLAH,
Danish Khan,Mashallah,
FlÙrÎncÈ NÔghtÌng‡lÍ,Mashallah,
Mirza Shebi,MashAllah,
Aatif Ullah Khan,Mashallah,
Saqib Hussain Bangash,Mashallah,
Shahid Khan,Mashallah,
Tahir Saleem,Mashallah,
Nadir Shah,Mashallah,
Noor Ayaz,mashallah,
Babar Hussain,Mashallah,
Zia Kakar,Mashallah,
Khawar Ch,Mashallah,
Abuzar Jani,Mashallah,
Waqas Malang,Mashallah,
Aman Khan,Mashallah,
Tila Muhammad Khan,"Mashallah ab yaad aa Raha hai aap ko k awaam Kya chahty Hain, awaam aap logon say axadi chahty Hain, aap k Bhutto say axadi chahty Hain, idiot , Kon sunta hai aap fazool logon ko",
Abdullah Khan,Mashallah Allah pak aisy he apny leader sa piyary krny ke himat deta rhy ameen,
Muhammad Usama,Mashallah Baber Sherni ALLAH lambi Zindagi Dy apko sada slamat rahu,
Hussain Muhammad,Mashallah Baber Sherni ALLAH lambi Zindagi Dy apko sada slamat rahu,
Mudassar Hassan Butt,MASHALLAH GOOD,
ALii Qasim,Mashallah Huge Crowed,
Inzimam Ul Haq Shigri,Mashallah nice,
Babar Ayub,Mashallah sherrr,
Babar Ayub,Mashallah very nice,
Malik Hassan,Mashallah zaber10,
Nargis Ikram,"Mashallah,In thease critical situation. the bahulpour public decision infaver of PMLN.",
Noor Khan,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive campaign against the selected government.,
Ubaid Khan,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive compaign against the selected & selectors.,
Azeem Gujar,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive compaign against the selected government.,
Rafique Rustmani,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive compaign against the selected government.,
Shahid Mehmood,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive compaign against the selected government.,
Tayyab Qureshi,MashAllah.Congratulations Mam.May Allah bless u with courage and success in ur massive compaign against the selected government.,
Rana Adnan Rajput,Mashla,
Dildar Hussain,Mashsallah And Great,
Amjad Bhatti,"Maulana jee the only Jihad you should consider is against Biryani and Mithai, maybe itíll help against the impending Heart Diseases that are incoming.",
Owais Khan,Maulana Saab.,
Aqsaa Ahsann,"Maulana Sahb has always supported Blackmailers, theives rather than Promoting Islam and spreading it through the people of Pakistan. I'm not IK supporter he has also disappointed us in every aspect. And did not deliver anything. All are thugs some of tÖ",
Mudsir Noor,Maulana sbís antivirus is corrupted he needs to be immediately disposed off and dumped 6 feet below making is all look natural evolution,
Khan Hamzakhanshinwari,mazay ki baat to yeh hai.. democracy ki baat bhi woh kar rahe hain jo khud apny waldain ki wajah se politics mai hain...,
Toqeer Shahzad,Meanwhile Pakistanis busy cheating on them ! Har jgha oqaat dikhty phirty hain,
Nabin Bist,Meanwhile Patwaris,
Mujeeb Rehman,Media biki hoi ha ap log biky hoye ho,
Musa But Musa But,Mery vote par daka na manzoor,
Sohail Khan,Mia Khalifa addressing illiterate patwaris,
Inamullah Joyia Inamullah Joyia,Mia Khalifa addressing illiterate patwaris,
Noormat Khan Afridi,Mian Muhammad Nawaz shrif zindabad,
Ahmed Yar,Mian Saanp Tusi Apni Dawa lene Bhool gaye ho,
Ghani Utmankhel,Mian Sahb,
Waqar Butt,Mian sb please donít mention Quaid-I-Azam. He fought for Pakistan and you fight for yourself and your family.,
Rana Azeem,Mic say pechay ho muh ich e na paa lae,
œÒÂm Kh‡n,Minar e Pakistan khud koo aaj pattaa naahi kiyoon capitan saffdarr smjh rahaa hai????,
Asif Mattam,Miss u,
Asif Mattam,Miss U Future PM Pakistan....,
Asif Mattam,Miss you,
???? ?? ?????,Miss You from Bannu,
Asif Mattam,Missing u so much...most of the people were awaitiong fr you...to see the next pm of pakistan in advance...so much success Jalsa,
???? ?? ?????,Mix achar,
Asif Mattam,Mix Achar party,
Muhammad Qaiser,Mix achar Party...,
Ibrar Kathia,Mix ichir,
Muhammad Huzaifah,Mjy to tars a ra hai s bechari mohtarma py smj kux b ni a raha kis ki saza bohkat re Hain,
Sadia Idress,model town bhi chalay jaoo haramkhooro wo ranasanaullah kanjar ko tou yaad hoga... mariyam tumharay baap chahcha sab ki hokomat the.. lahore main,
Manzoor Ahmed,Mohtarma Bilal Bhutto Zardari sahiba should be sitting within the four walls of he house and leran to make rotian and sabzi. That is all what she should be doing.,
Niaz Khan Gishkori,Molana ki pict tu sahi lagate,
Muhammad Naeem,Molana ko aaj ghar lai jao raat zara thandi hai to is liye,
Malik Sonhara Soyia,Molana me apki shahadat k leay dua go hun..,
Saraj Alam,Molna diesil needs to explain why his men were with nawaz Cronies when they tried to establish diplomatic ties with Israel against the narrative of protesting against innocent palastinian killings,
Naeem Mng,Molvi bhi jhoot bole rha ha,
Malik Noor Waqas,More power to you!,
Mirafgan Khan,Most of the baloch people were disappeared and drones attacks were conducted between 2008 to 2013 in the reign of zardari ...... Firstly go and grab you Father beita,
Javid Altaf,Most wellcome to our city bannu,
Raees Najeeb ChaChar,"Moulana can not be stable now because he was living in Beautiful building ,he had many Cars and Had a great respect at home before MNA ship now he is wandering in the streets.",
Shafiq Khan,Move two: Get Safdar arrested,
Inayatullah Dharo,MQM is back in Karachi? Now they realized that umpire is to show them a red card soon?,
Usama Iqbal,Mr bilawel instead of criticing others come to Sindh where ur party is ruling since decades and ur party has done nothing but corruption corruption corruption .. ...,
Abubaker LaLa,Mr bilawel sindh has voted ur party not for doing corruption but for betterment of province but unfortunately u have forgotten sindh perhaps because a major part of corruption done by ur govt go to ur family ...,
Shreen Zaman,Mr Junior Zardari.... you were not only shocked but also lacked the courage to condemn it...,
Waqas Ahmad Mughal,"Mr Maulana please don't misuse Jihad name For your Political scoring, Your hypocrisy never End . Stop playing with your Party, Religion for Your Stake .",
Shahzad Khan,Mr. Fazal ur Rehman (R.I.P) .,
Yasirii Malik,"Mr. Shah Mehmood Quershi the worthy foreign minister of forget about . You have lost the ,there's no solution with you for the people's of Kashmir.",
Sajjad Haider,muhtrma Bilawll Bhutto zindabad,
Sajjad Haider,Muje q nikala hahahaha,
M Arshad Jandran,Mujhe kyon nikala,
Muhib Jani,Mujy. Ejazat ho to m is insan ko goli mar do eman sy khon kholta h isy dekh Kristin,
Mehmood Alihassan Soomro,Mulk dushman logg????,
Malik Zeeshan Surveyor,Mulla Diesel,
Mehrab Jan,Murdan waly chor diakhny aye hy,
Aqib Mgi,Must be having one of his rare sane days!,
Aqib Mgi,Must watch,
Aqib Mgi,My great leadership,
Siraj Khan,Na noukari na Ghar na job PTI frod kar gai,
Mast Malang,Na-ahel nalaik party,
Zahid Musfair,naani ki cheekhyn,
Dani Khan Khattar,Nadir Shah,
Khurram Hussain,Nalaiq establishment k kaam,
Shah Zaib,Nani,
Sagarika Thapa,Nani 420,
Nyla Nasir,Nani 420,
Awais Ali,nani 420,
Kinzay Rana,Nani 420,
Areeba Rayasat,Nani 420 Choorni,
Areeba Rayasat,Nani 420 haramzadi,
Muhammad Bashir,Nani can never be a PM.,
Muhammad Bashir,nani g khuda ka wasta 30 sal ap ne kuch ni kia ab sap nikalny hai ap ne,
Ahsan Ullah,Nani no 1,
Faisal Shaikh,Nani now say this without crying,
Irfan Kakar,Nani420,
Ayaz Khan,Nano 420..chor k bchy,
Kashif Safdar,"Nano, I can't expect from you to give China Toys to your grand daughter, buy atleast some levish gifts so she can be proud of someday.",
Mir Balaj,"Nation love you in true latter and spirt keep it up,take care",
Mohib Khan,Nation stands with opposition parties.,
Zahid Azam,national Disaster imran khan ko bhagao mulk bachao,
Zahid Azam,National Polictial Leader,
Zahid Azam,Nawaaz sharief congratulations from kpk Swat Asadullah,
Azmat Bhatti,Nawaz chor bhagora,
Azmat Bhatti,Nawaz it's time for you to repent your one leg is already in grave,
Ali Raza Pmln,Nawaz shareef ak boht bara baygairt ha.,
Nabella Majeed,Nawaz sharieef chor ha or ghareeb awam ka Paisa wapis karo,
Khaleq Khaleq Khan,Nawaz sharif chor ka bi btao makaar lomri..... Baighairtoo.....,
Aurangziab Abdul Khoso,Nawaz Sharif kehta tha....yeh hain woh zarai jin say main nay london main properties purchase ki.....,
Riaz Ahmad,Nawaz sharif says ..... I am the looter of Pakistan and will continue to loot and my offsprings will be looting Pakistan because it is my primary duty to loot Pakistan.,
Rana Ali Raza,Nawaz Sharif will contribute online in this Jihad,
Sajjad Khan Pmln,Nawazshareef ka online khitab tga vo kiu ni dikhaya?,
Sajjad Khan Pmln,Naya tarke es liy raqam kia qk es se phly 4k log nahi hote te bajy??????,
Arslan Chawla,Nehi jis captain k saath gehraaj main thee is k saath beth k baat ho gi,
Ahmed Tareen Kalantar,"Never like him as a leader, but totaly agree with him, no place for establishment in politics, they are meant for borders not for rulling!!!",
Muhammad Amir Aame,"Never saw a pure vegan food recipe, seems Pakistanis are heavily non veg eaters. One country is conducting research on artificial meat looks and tastes like non veg stuffs which will avoid cruelty on animals",
Mohammad Fayaz,New charter of corruption***,
Raja Nisar,New euro V ..in pak politics.,
Jawad Chaudhryy,News. If you have ongoing heart condition having regular angina attacks. Eat Pizza. Maryam Nawaz. Ab ye apnay baap kay sath awam ko bhi maray gee. ??????,
Imran Bari,Next 5 year just pm imran khan,
Imran Bari,Next Altaf Hussain,
Faryad Ali Mughal,Next PM,
Riaz Khan,Next pm,
Atif Sulehri,Next PM,
Atif Sulehri,Next PM imran khan,
Atif Sulehri,next pm imran khan InsAllah,
Arix AfridiiDs Arix AfriiDs,Next pm of pakistan in,
Chaudhary Amir,Nic,
Waheed Sager,Nice,
M Irfan Sammar,Nice,
Niaz Khan Baloch,Nice,
Alee SamEer,nice,
Samreen Hashmi,Nice,
Salman Khan Roghani,nice,
Ali ASÂd,Nice,
Usman Sajid Bhabha,Nice,
M. Nasir,Nice,
Muhammad Shahzad,Nice,
Sajjad Amin,Nice,
Khan Javed,Nice,
Hamza Malik Hamza Malik,Nice,
Hasan Akhtar Qureshi,Nice,
Naqeeb Khan Naqeeb Khan,Nice,
Asif Iqbal,Nice,
Hafiz Abdul Basit Indhar,Nice,
Shahjhan Ali,Nice,
Usman Majeed Malik,Nice,
Sajjad Khan Abbakhel,Nice,
Ilyas Khan,Nice,
Nasir Memon,Nice,
K‚shÓf Kh‚Ò,Nice,
Malik Shahbaz,Nice,
Khalid Hussain,Nice,
???? ?????,Nice,
Faisal Khan,Nice,
Aslam Ch,Nice,
Zahid Musafar,Nice,
Zahid Musafar,Nice,
Gulnawaz Yaqoob,Nice,
Ikram Mahsood,Nice,
Abdul Waheed Shar,Nice medim,
Raja Abdullah,nice .,
Lala Farooq Mahar,Nice ??,
Waqas Ali Pmln,Nice marim army ka kutah nakla Imran dhukn baz,
Akhtar Khan,Nice mem,
M Umar Wazir,Nice sir,
Abdul Basir,Nice soo nice,
Abdul Basir,Nice.....nice,
Abdul Basir,Niceee,
Abdul Basir,Niceeee,
Abdul Basir,Niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,
Muhammad Waseem,nni ami bs kro :),
Idrees Khan,No corona here?,
Faiza Mustafa,"No doubt ..it also killed the propaganda against Lahore, what is encouraging that the movement is gaining momentum day by day ..may Allah SWT keep the same pace and spirit of PDM workers till the end",
Abdul Jabbar,No doubt a huge public gathering which reflects the sentiment of people against this incompetent government .,
Ahsan Virk,"No its not jihaad, rather its a fasaad through the dakus are trying to protect thier ill gotten wealth",
Ahsan Virk,No molvi seen in comments? O wait they can't read english,
Ahsan Virk,No one is gonna give their life for diesel when they can simply buy it.,
Ch Afra Jutt,no single flag of nleague. what a shame.,
Qadar Nawaz,No to pdm corrupt politicians.,
Mirharaz Khan,"No wonder, why cartoon series are dropping trp.",
H„rÛÚÒ Kh„Ò,Noo Rally its jalsaa,
HamZa Farooq,Noonis once stormed SC the same way.,
HamZa Farooq,Not Dislike Yaar ARY Ko Like Karo,
HamZa Farooq,"Nothing about law and order, corruption, justice but same shitty points",
HamZa Farooq,"Nothing else but a "" Software update"" bescause every now and then he uses the word "" Selectors""...",
Taaruf Ullah,Nothing New. Government trying to escape under these type of things. No harm to PDM,
Sajid Ali,Nothing to lose,
Faisal Amin Taib,"Nothing will happen, Everyone knows PPP past performance and Corruption. National party becomes the provincial party very sad...",
Rooh Ullah Rohulah,Now i know y Wanted to be translated in Urdu...,
Prince Nazim Ali,"Now it is not Bilawal Bhutto.Now you are just Bilawal, if you want to polish shoes, use the name of current or a retired man so that people will avoid stupidity.",
Muhammad Yousaf,Now these money greedy politicians will announce jihad . Ask him to sacrifice his wealth for the state first then see how he declares so called jihad for government seat.,
Nasrullah Tariq Shaloo,"Now they have a common enemy, enemy they have recognized could never be a friend and will always back stab. this why it is different this time. Narrative is not against PTI because PTI is irrelevant , narrative is against the mindset that enslaved peoÖ",
Touseef Khan,"Now We have to listen lectures from looters, robers. Isn't ridiculos? Shame on those who still support culprits",
Habib Ullah,Now you should talk like this at rallies..,
Habib Ullah,"Now, they don't care about Covid-19. They only think about money and chair. COVID-19 was a big drama for government of PAKISTAN. They don't care about it. They made dialogues in order to take money and funds from foreign banks and countries. Now, they Ö",
Habib Ullah,NRO kia hai,
Habib Ullah,NS kai naouker (ADC) Safdar ki trah aaj Lahorion nai Raj kummarie Murrium ki Qulfie juma dee oor she felt happiness but inside she is ruined then with her Azzt and now political carriers,
Habib Ullah,Number 1... lamb biriyani,
Habib Ullah,Nxt pm,
Habib Ullah,NYC...go to hazara community,
Azmat Khan,Nycccc,
Habib Ullah,O Bibi hun Ty bas Kar??,
Azmat Khan,O chal dafa ho ja,
Ch Ahmed,O jaa oye kamini napak orat. Tere jesi hazar behaya patwarnen kaptan ki chapal pr qurban.,
Shahid Mehmood Butt,O Pti waalio Pain lul tawaadi nu kuti Dio putro maar Dita jay,
Rana Danii,"Of course, this is the heartfelt love of the Bannu people and there are reasons to be tolerant of the previous government. The meeting was very good. But Maryam Nawaz was missing. God knows where she was and why she was absent.",
Asmat Ullah,Ogre,
????? ??????,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho,
????? ??????,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho,
????? ??????,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho,
????? ??????,"Oh and using caliberi font was real smart, Mr. Ishaq Dar racking up huge debt to artificially prop up the exchange rate was a stroke of genius, Mr. Sharifís halting nervous defence of his source of wealth was aw inspiring, inviting our worse enemy Ö",
????? ??????,Oh boy now i fear for the day when he wil say I AM QUAID E AZAM.,
????? ??????,"Oh,",
Sadam Baloch,Ok,
Naeem Khan,Ok A,
Arif Ali Arif Ali,Old saying:,
M Ramzan Khan Sajid,Omg that was soo cringey,
Muhammad Jahangir,Once molvi in govt jihad will stop,
Koko Jan,One Among the signs of the,
Haji Akhtar Alam Qureshi,Only 2000 people,
Kashif Khan,Only 4 to 5 thousand,
Sagheer Ahmed,Only if he can get married by then!!!I have no comments about what happens after that???,
Tasleem Baloch,Only if he knew what jihad actually was. What a sad state this man is in. The thirst for power has made him go nuts.,
Abdusalam Habib,Only if treachery & Indian sponsored propoganda had a face,
Khanzeb Khattak,Only jihaad card was left to play,
H?sÂn R?z? Kh‰n,only pti......love you khan,
Thsin Ullah Khan,Only words. what your father did in his era against poverty and unemployment...??? Nation will no longer tolerate your dirty faces you all will be accountable for what you have done with this country.,
Shaya Khan,Ooo hut gushti,
M Amjad Mahmood,Ooye log ho tussi,
Aziz Unar,Or ya log sab baryanni k pichy ay hay,
Shafqat Mehmood Awan,"Our stupid generation is far from becoming a sensible one , majority of our kids are angry not because of covid19 but just to avoid schools and colleges and use that time destroying themselves , roaming around, enjoying vacations and what not, for God'Ö",
Junaid Wazir,Out of Context,
Aman Ali Kashmiri,Outstanding ??????,
Shams Khan Mehsud,Over Acting,
Sardar Junaid,Oye Hijray Chup kar,
Sheikh Rasheed Ahmed Saqib,oye kursiyan sari chak k ly gye vikhiya nhe ??????????????,
Khalid Khan,Oyea tumhary chor baap ny kitny hospital banayea.,
Bin Ashraf,P.D.M totally creapt ??????,
Zahida Raza,Pagal aurat,
Sardar Behram Khan,Pagal or chutia qoom crona ke waja sy dunia parshan hy or in ko dekho,
Tahir Mahmood,Pagal salla,
Arshad Ali,Paiso aor khanay ka laalach,
Kiran Ghouri,Pak Army/ISI hv started weakening the PDM with Bilawal expressing surprise over Sharif's indictment of the Army 2 hv manipulated general elections to instal Imran. Lack of consensus on future strategy will weaken d movement. Imran is clueless but ArmyÖ,
Hayat Kpk,Pakistan 1947 mein Azad howa,
CH Mohammed Saeed Chowdhary,Pakistan Dacoit Movement,
Zulfiqar Tabassum,Pakistan dako movement,
Rifhat Mudasar,Pakistan ki qoum kab tak baywaqof banti rehey gee in ghadaron PDM k hathon.,
Rifhat Mudasar,Pakistan 'Rejection' Movement. Reject everything that goes against them. Stop misusing democracy for GOD's sake.,
Rifhat Mudasar,Pakistan rejects jali diesel walay mullahs and PDM,
Rifhat Mudasar,Pakistan zindabad,
Rifhat Mudasar,PAKISTAN ZINDABAD NAWAZ SHARIF ZINDABAD.,
Rifhat Mudasar,"Pakistani Army Lovers after posting offensive comments...Frustration is beyond tolerable...While the whole world is fighting with corona, but Pakistan is still mired in polio...This is the reason for it...",
Rifhat Mudasar,Pakistani politicians will rape their country to siphon the money.,
Rifhat Mudasar,Panama gotala.,
Rai Sikandar Qadir,Papa goonglo bhi army ki padawar yeh to unsay bhi nalaiq,
Rai Sikandar Qadir,Parda kar yara parda,
Usama Ahmad,Parda karo ghar bhaith jao.,
Usama Ahmad,Park evenio flats,
Kohla James,Patwaran,
Aqeel Ahmad,Paxtan in d bag...grape,
G Nabi Jatoi,PDM,
Heelamand Lattakwal,PdM,
Shahid Marwat,PDM Ko or Bellawel Anty ko Like Nahi Karo Yaar ARY Ko To Like Karo Sub Log,
Sohaib Khan,PDM 12 POINTS AGENDA.,
Farukh Ahmad,Pdm choor han,
Saim Asgar,PDM chor,
Hammad Rafique,PDM chor hai,
Majid Khajjak Watan Jar,PDM fail and so much boring,
Rana Tariq,"PDM FAILED TODAY, WELL done patwaris, biryani, keema wala naan bhi kha liyain and jalsa bhi flop kardia, people of Pakistan stands with IMran khan, now PDM leaders should some grace and apologies",
Shaukat Khan,PDM is doomed to fail in achieving what they want to achieve i.e. return of the same corrupt lot.,
Moin Khan,PDM is gang of dacaoits and looters,
Naeem Akhtar Rajpoot,"PDM is group of looters,dacaiots and thieves....",
Naveed Rehman,PDM is just collection of mulk chore,
Amir Sohail,PDM is our only hope.... my next vote is for PDM,
Ch Hadeed Cheema,PDM is the crew of most disabled politicians.,
Malik Liaquat Awan,PDM KA MUSTAQBIL LAKE ONTARIO HAI YA LAKE NIAGRA FALL.,
Jaam Adnan,"PDM knows that ,he would not give up ,so try ,try again ,PDM looted this country for more than four decades ,now comparing it ,this is not justice ,let him to do government for four decades ,than compare yourself with Ik and ask for accountability .",
Mohmd Shakir,PDM pakistan daku moment,
Mohmd Shakir,PDM rejected the outcome of GB elections. What a surprise,
Mohmd Shakir,PDM till 2028 IA,
Zahid Iqbal,PDM totally got failed!,
Abdul Rasheed Khan Jadoon,PDM you will be victorious inshaAllah,
Munir Khan Gurmani,Pdm zindabad,
Imtiaz Ahmed Awan,Pdm zindabad,
Noor Hussain,Peachy se hawa nikal rehi zoor na lagauo abi rony se kuch nehi ho ga,
Kashif Khan,"Peeli taxi ? Or pait pharein,?",
Muhammad Amjid,Pehlay apne Baap ko bolao phr bat Karen gy,
Tanveer Ali,pehn chod choran da tabar,
Muhammad Zakria Abbasi,Pelaye ANP apni seats too jetaye.,
Muhammad Zakria Abbasi,Pennay ninakku Swargam vendey?,
Muhammad Zakria Abbasi,"People from their home town have rejected them!! People of Pakistan are smart, these politicians underestimate them!!",
Muhammad Zakria Abbasi,People know the truth people watching everything,
Muhammad Zakria Abbasi,People stop making his fun! Idiots!,
Muhammad Zakria Abbasi,Perhaps he forgot to mention that if the Supreme Court have to upheld its constitutional duty he should already be in prison and not an absconder.,
Muhammad Zakria Abbasi,Phat Gai...Bund and Munn..,
Muhammad Zakria Abbasi,Phele tere abu ko bula kr laa jo bagoda london mai chupa hai plastic surgery,
Fayyaz Ur Rehman,phir isko ghazi na rehne diya jaye shaheed kia jaye,
Muhammad Zakria Abbasi,phle is diesel ko shaheed kro phr dkhte hn iska jihad,
Muhammad Zakria Abbasi,Phulan maryam awan. The dakaits of lahore,
Muhammad Zakria Abbasi,Pigs shouting,
Muhammad Zakria Abbasi,Pinnacle of Manipulation distorting religion according to oneís own desires and whims. Are they the scholars of the last Hidgri (century). Despicable is the word that comes to mind,
Taqi Haider Naqvi,Pizza Jihad,
Mian Shakir,Please ARY you are aiding and abetting these criminals by showing their whole hateful speeches this is not news.,
Azmat Ullah,Please change the name to chore party,
Umair Bin Nasir,Please don't be lie. Tell your obsconder Father and brothers to come and face the cases in the court of law.,
Hameed Khan,Please don't fudge about your failed economy which is a hell for the common people.,
Mujtaba Ali,"Please don't try to term your personal interests into a sacred thing like ""Jihad"".",
Bakhtawar Shah Mohmand,Please get these kids off the streets they are spreading the coronavirus,
Shahzeb Rehmani,PLEASE RETURN OUR MONEY AND ASK YOUR BROTERS TO COME BACK,
Abid Jaan,Please return plundered n looted money,
Syed Farooq Haider Shah,Plmn zindabad,
SyEd ALi ShAh,pls na dekhai pls,
Shahzad Pappu,Pls pls PAKISTANIYO in choro ko kabhi moka mat dena. Yh baat amm kar do har ghar har galli mein bata do. Yh sirf apna app bacha rahe hain inko tumari perwa na thi na hogi. Yh appke jazbaat ke saath khel ke appko bewaqoof banate hain.,
Mohammed Sajid Bhatti,Plz chup Kar jao meray Sar mein dard horaha hai,
?????? ??? ?????? ???,Plz humein maaf krdo,
Umar Din,Plz myry sar par drone na uraen????????????????,
Talha Qasim,Plzzz speak on france incident being a Muslim you must think,
Syed Ahsan Sherazi,Pm,
Meer HamEed Baloch,PM imran Khan ??pk army ???????,
Waqas Nadan,Pm Imran khan zinda bad,
Bilal Pmln,Pml N,
Aziz Ur Rahman,PML ZINDA BAAD,
Asad Ullah,PML ZINDA BAAD,
Asad Abbasi,Pml. N,
Raza Mohammad,Pmln,
Raza Mohammad,PMLN ??,
Muhammad Asim,"Pmln waley Kehty they IK badtameez hai... He used that language for his age fellow... Listen to her now!!!! Copying the IK in everything, tasbeeh, container, music, venues, nothing original.",
Qaderdad Shar Bloch,PMLN workers zinda baad SALAMAT raho Ameen,
Hafiz Kifayatullah Lehri,Pmln zinda bad,
Shoaib Samo,PMLN zindabad,
Ali Shah Ali Shah,PMLN ZINDABAD,
Jehangir Khan,PMLN zindabad,
Janib Ali Maheri,"Political rallies are immune to covid, every political rally",
Malik Asif Wahocha,Ponka,
Malik Asif Wahocha,Poor non Muslims get accused of blasphemy for sharing the same water cooler. This man makes a mockery of the concept of Jihad and he is a leader in Pakistan.,
Malik Asif Wahocha,Poor statement.,
Rehmat Ali,Pori speech mn 1 hi baat imran Khan ko phly pta ni tha,
Malik Asif Wahocha,"Post 9/11, the right wing sentiment in America marked a drastic rise that culminated in Trump winning the President and eventually boiled down to storming of the Capitol.",
Ch Umar,"Post krne se pehly verify kr liya kren q k aksar apki posts fake hoti hain. Ap khud tou bezati proof hain, apkay supporters bichare defend krte krte izat gwa dete hain..",
Ch Umar,Potatoes 200 rupees per dozen and eggs 100 rupees per kg. Bilawal can you tell us the philosophy behind this well calculated intellectual talk?,
Ch Umar,"Poverty and unemployment are,definitely,the biggest problems faced by the masses.But,the question is relevant as well as very disturbing.Why these issues have been common during every rule or why there is an individual and collective failure to remove Ö",
Ch Umar,Pow,
Ch Umar,POWER OF PEOPLE IS STRONGER THAN THE PEOPLE IN POWER. ....THANKS NAWAZ SHARIF,
Abubakar Gujjar,"PPP and PMLN after undermining each other for decades by dragging institutions for their own power, now claim they are fighting for democracy, when they can't even give leadership outside of their families.",
Ch Umar,"PPP Chairman Bilawal Bhutto-Zardari has said that he was ""shocked"" when he heard PML-N supremo Nawaz Sharif's speech during the Pakistan Democratic Movement's (PDM) first rally in Gujranwala last month in which Nawaz named the country's top military leÖ",
